"default","bmaxrate","amount","close","bankcardutil","rating"
0,0.29,3500,1,0.95,"Missing"
0,0.23,3250,0,0.93,"D"
0,0.2,5000,0,0.97,"C"
0,0.21,5000,0,0.73,"D"
0,0.24,6500,0,0.98,"C"
0,0.21,25000,0,0.07,"A"
0,0.07,2000,1,0.81,"Missing"
0,0.09,4000,0,0.32,"A"
1,0.29,25000,1,0.97,"D"
0,0.16,8200,0,0.87,"C"
0,0.29,4850,0,0.89,"Missing"
0,0.15,5500,1,0,"C"
1,0.29,4000,0,1.07,"Missing"
0,0.1,3000,0,0.07,"AA"
0,0.29,2550,1,1.26,"Missing"
0,0.23,10000,1,0,"D"
0,0.2,4000,0,0.48,"D"
0,0.09,1500,0,0.29,"A"
1,0.24,3000,0,0,"Missing"
0,0.15,7000,0,0.95,"C"
0,0.11,1000,0,0.01,"AA"
1,0.19,3000,1,0.77,"D"
0,0.21,1500,0,0.01,"C"
0,0.1,2000,0,0.29,"A"
0,0.2,4000,0,0,"D"
0,0.2,1500,0,0.53,"D"
0,0.2,5000,1,0.43,"D"
0,0.19,4041,0,0.91,"D"
1,0.29,3025,1,0,"Missing"
0,0.14,2000,0,0,"C"
0,0.15,3500,0,0.3,"C"
0,0.2,1000,1,0.76,"C"
0,0.29,2500,0,0.95,"D"
0,0.23,1000,1,0.93,"Missing"
0,0.1,3500,0,0.07,"AA"
0,0.25,3000,0,0.73,"D"
1,0.29,2000,0,0.98,"Missing"
0,0.18,9900,0,0.55,"C"
0,0.21,2500,1,0.38,"A"
0,0.2,7500,1,0.52,"D"
0,0.27,7500,0,0.73,"C"
0,0.07,1000,1,0.34,"AA"
0,0.13,2600,1,0.1,"C"
0,0.29,5000,0,0.93,"Missing"
0,0.14,9000,1,0.54,"B"
0,0.24,1500,0,0.99,"Missing"
0,0.11,4500,1,0.97,"AA"
0,0.2,1000,1,0.9,"D"
0,0.28,6000,0,0,"D"
0,0.17,1850,0,0.68,"D"
0,0.17,3000,0,0.88,"D"
0,0.09,6001,0,0.22,"AA"
0,0.12,5900,1,0.31,"A"
0,0.24,3000,0,1.62,"Missing"
0,0.18,2500,0,0.87,"D"
1,0.12,2500,0,0,"B"
0,0.24,1025,1,0.59,"Missing"
0,0.08,2000,0,0.23,"AA"
0,0.15,15000,0,0.65,"B"
0,0.1,7500,0,0.23,"AA"
0,0.09,2000,1,0.01,"AA"
0,0.28,2000,1,0.97,"Missing"
0,0.29,3001,0,0,"Missing"
0,0.18,9995,0,0.53,"C"
0,0.29,2500,1,1.01,"Missing"
0,0.23,10000,0,0.88,"C"
0,0.1,3500,1,0.21,"AA"
0,0.1,4000,0,0.16,"A"
0,0.25,3000,0,0.71,"D"
0,0.29,2550,0,0.63,"D"
0,0.29,3500,1,1,"Missing"
0,0.15,8000,0,0.12,"B"
0,0.15,1700,0,0.83,"D"
0,0.29,4500,1,0.6,"Missing"
0,0.29,3001,1,0,"Missing"
0,0.2,25000,1,0.19,"C"
0,0.21,10000,0,0.21,"D"
0,0.23,1500,0,0.84,"Missing"
0,0.17,1000,0,0.67,"D"
0,0.2,5300,0,1.26,"D"
1,0.27,2000,1,0,"Missing"
0,0.1,7000,0,0.07,"AA"
0,0.14,7000,0,0.55,"C"
0,0.29,4500,1,1.52,"Missing"
0,0.17,3000,0,0.91,"D"
0,0.1,7500,1,1.02,"D"
0,0.25,2500,0,1.01,"D"
0,0.17,5600,0,0.84,"C"
0,0.07,1000,1,0,"Missing"
0,0.22,6001,0,0.98,"C"
0,0.23,2000,0,1.13,"Missing"
0,0.08,6001,0,0.04,"AA"
0,0.2,5000,1,0.95,"C"
0,0.06,9600,1,0.16,"C"
0,0.17,1500,0,0.67,"C"
0,0.17,1200,0,1.36,"Missing"
0,0.17,1200,0,0.94,"D"
0,0.19,3000,1,0,"D"
1,0.29,2550,1,1.51,"D"
0,0.15,2000,1,0.49,"D"
0,0.23,3500,0,0.92,"Missing"
0,0.29,2500,0,0,"Missing"
0,0.13,9000,0,0,"A"
1,0.29,2000,1,1.08,"Missing"
0,0.19,7400,1,0.87,"C"
0,0.17,4500,0,0.05,"D"
0,0.2,5000,0,0.22,"D"
0,0.2,7500,0,0.38,"C"
0,0.15,1500,1,0.64,"AA"
0,0.13,6000,0,0.92,"C"
0,0.24,2500,1,0.96,"D"
0,0.23,8100,0,0.93,"C"
0,0.13,6000,0,0,"B"
0,0.2,3000,1,0,"D"
0,0.25,7000,0,0.62,"D"
0,0.18,2550,1,0.99,"Missing"
0,0.16,9000,0,0.05,"B"
0,0.16,5000,0,0.89,"C"
0,0.09,5400,0,0.18,"AA"
0,0.19,3725,0,0.78,"D"
1,0.2,20000,1,0.05,"AA"
0,0.17,3500,0,0.98,"Missing"
0,0.16,9800,0,0,"C"
0,0.29,4669,1,0,"Missing"
0,0.09,1025,1,0.76,"D"
0,0.09,6001,0,0.26,"AA"
0,0.1,2000,1,0,"B"
0,0.11,8000,0,0.62,"B"
0,0.16,2000,1,0,"C"
0,0.29,3950,0,0.78,"Missing"
0,0.1,2000,0,0,"B"
0,0.28,5000,0,0.87,"Missing"
0,0.15,7700,0,0.38,"C"
0,0.15,20000,0,0.37,"A"
0,0.24,3000,0,0,"Missing"
0,0.18,7500,0,0.9,"B"
0,0.29,5000,0,0.72,"Missing"
0,0.11,2500,1,0,"B"
0,0.1,4000,0,0.88,"A"
1,0.22,25000,0,0.73,"C"
0,0.22,2500,1,0.74,"D"
0,0.29,2700,0,0,"Missing"
0,0.1,6000,1,0.75,"A"
0,0.15,2000,1,0,"Missing"
0,0.09,2550,0,0.05,"A"
0,0.16,9000,0,0.97,"C"
0,0.18,2500,0,0.82,"D"
0,0.13,8000,0,0.57,"A"
0,0.1,6500,0,0.34,"A"
0,0.16,8500,0,0.56,"C"
0,0.17,9500,0,0.95,"AA"
0,0.29,5000,1,0,"Missing"
0,0.18,3000,0,0.79,"B"
0,0.2,2500,0,0.8,"Missing"
0,0.23,1000,0,0.92,"Missing"
0,0.13,2500,0,0.57,"A"
0,0.23,5000,0,0,"D"
0,0.29,2100,0,0,"Missing"
0,0.15,8000,0,0.64,"B"
0,0.28,5500,0,0.35,"D"
0,0.11,6000,0,0.4,"AA"
0,0.22,7000,0,0.07,"AA"
0,0.27,1000,1,0,"Missing"
0,0.09,2500,0,0.04,"A"
0,0.23,4900,0,1,"D"
0,0.1,5000,0,0,"A"
0,0.29,2500,0,0.83,"D"
0,0.23,15000,1,0.76,"B"
0,0.29,7500,1,0.09,"D"
0,0.15,1000,1,0.73,"C"
0,0.08,1000,0,0.01,"AA"
0,0.29,2200,0,1.06,"Missing"
1,0.29,1550,0,0,"Missing"
0,0.1,9990,0,0.05,"AA"
0,0.29,4000,1,0,"Missing"
1,0.29,3000,1,0.53,"D"
1,0.29,2500,1,0,"Missing"
0,0.16,4200,1,0.83,"C"
0,0.12,10000,0,0.85,"A"
0,0.08,1000,0,0.31,"AA"
0,0.1,1500,1,0.79,"A"
1,0.16,6500,1,0.93,"A"
0,0.16,8000,0,0.8,"C"
0,0.19,8500,0,0.79,"C"
0,0.06,1000,0,0.04,"AA"
1,0.29,3000,1,0.67,"Missing"
0,0.1,3900,0,0.53,"A"
0,0.29,2600,0,0.98,"Missing"
0,0.16,3500,0,0.83,"C"
1,0.29,1000,0,0.95,"Missing"
0,0.23,5300,0,0.45,"D"
0,0.29,3000,1,0,"Missing"
0,0.07,1500,0,0.01,"AA"
0,0.29,2875,1,1,"Missing"
0,0.25,10000,1,0.71,"D"
0,0.17,2500,1,0.59,"C"
0,0.29,3000,0,0.91,"Missing"
0,0.2,2700,1,0.87,"D"
0,0.15,4500,1,0.49,"C"
0,0.12,3000,0,0.56,"B"
0,0.15,2500,0,0.56,"C"
0,0.13,8500,0,0.21,"AA"
0,0.15,9000,0,0.97,"C"
1,0.24,2600,0,0.96,"Missing"
0,0.27,3000,1,0.79,"D"
0,0.05,1000,0,0.42,"D"
0,0.11,6500,0,0.34,"A"
0,0.07,1000,1,0.08,"AA"
0,0.25,2000,0,0,"D"
0,0.19,2100,0,0.86,"D"
1,0.19,12500,0,0.02,"AA"
0,0.29,3000,1,0.98,"Missing"
0,0.2,5000,0,0.61,"C"
0,0.29,3000,0,0.98,"Missing"
0,0.23,3000,1,0.7,"D"
0,0.24,1000,1,0,"Missing"
0,0.17,3000,1,0.59,"C"
0,0.17,8000,0,0.8,"C"
0,0.23,8500,1,1.13,"Missing"
0,0.18,5000,1,0,"D"
1,0.23,2000,0,0.9,"Missing"
0,0.18,1600,0,0.94,"D"
0,0.14,5000,0,0,"B"
0,0.2,1000,0,1,"Missing"
0,0.17,6500,0,0.79,"C"
0,0.11,1000,0,0.98,"D"
0,0.15,1600,0,0.82,"C"
0,0.15,8500,0,0,"B"
1,0.29,3000,0,1.51,"Missing"
