"saleprice","horsepower","age","enghours","diesel","fwd","manual","johndeere","cab","spring","summer","winter"
153510,491,2,1148,1,1,1,1,1,1,0,0
192560,270,3,467,1,1,1,1,1,0,0,0
176510,215,5,1511,1,1,1,1,1,0,0,0
117940,205,2,128,1,1,0,0,1,0,0,1
123130,235,2,1620,1,1,0,0,1,1,0,0
82550,510,7,5038,1,1,1,0,1,0,1,0
93720,333,5,2825,1,1,1,0,1,0,0,1
108020,275,4,1360,1,1,1,0,1,1,0,0
118000,221,6,1003,1,1,0,0,1,0,0,0
103110,275,4,1227,1,1,1,0,1,1,0,0
87690,221,4,1250,1,1,1,0,1,0,0,1
104280,215,7,2221,1,1,0,0,1,0,0,0
57380,535,5,7297,1,1,1,0,1,0,0,1
82450,180,8,4257,1,1,0,0,1,0,0,0
66540,225,18,5624,1,1,1,1,1,1,0,0
51580,190,7,2699,1,1,1,0,1,0,0,1
38220,350,18,4985,1,1,1,1,1,0,0,1
48260,240,9,7056,1,1,1,0,1,1,0,0
53330,105,5,1650,1,1,1,1,1,0,0,0
45450,100,6,2872,1,1,0,0,1,0,1,0
44630,350,19,6131,1,1,1,0,1,0,0,0
47960,105,5,513,1,1,0,0,1,1,0,0
48310,145,17,3800,1,1,1,0,1,0,0,0
44230,187,29,3918,1,1,1,0,1,1,0,0
48350,95,5,460,1,1,0,0,1,0,0,0
45800,225,15,7595,1,1,1,0,1,0,0,0
45420,210,19,4990,1,1,0,0,1,0,0,0
40920,125,7,391,1,1,0,0,1,0,1,0
38920,210,18,7300,1,0,1,0,1,0,1,0
43910,95,5,300,1,1,1,0,1,1,0,0
40140,235,14,7750,1,1,1,0,1,1,0,0
35830,175,9,6390,1,1,1,0,1,0,1,0
37740,210,18,9224,1,1,0,0,1,1,0,0
36060,100,8,3517,1,1,0,0,1,0,1,0
40970,105,4,784,1,1,1,0,0,0,0,0
32760,95,5,2417,1,1,0,0,1,0,0,1
33630,215,18,6849,1,1,1,0,1,0,1,0
